Date,Rank,Song,Artist,Genre,Date_Index,State,New_Spell,Spell_Number,Days_On_Chart,Total_Appearances,Artist_Past_Appearances,Prev_Rank,Delta_R,Volatility_So_Far,Rank_Velocity,Is_New_Entry,Next_Date,Next_Rank,Observed_Next_State,Next_State,Top10_Tomorrow,Exit_Tomorrow
2026-03-11,50,Mann Mera - Original Version,Gajendra Verma,Hindi Indie,1,26-50,False,1,2,2,51,50.0,0.0,0.0,0.0,False,2026-03-12,,,Exit,0,1
2026-03-12,1,Bairan,Banjaare,Hindi Indie,2,Top10,False,1,3,3,2,1.0,0.0,0.0,0.0,False,2026-03-13,1.0,Top10,Top10,1,0
2026-03-12,2,Sheesha - Aakhya Mai Aakh Ghali Jo Bairan,Mitta Ror,Punjabi-Haryanvi Pop,2,Top10,False,1,3,3,3,2.0,0.0,0.0,0.0,False,2026-03-13,2.0,Top10,Top10,1,0
2026-03-12,3,Gehra Hua,Shashwat Sachdev,Hindi Film,2,Top10,False,1,3,3,95,3.0,0.0,0.0,0.0,False,2026-03-13,3.0,Top10,Top10,1,0
2026-03-12,4,Dooron Dooron,Paresh Pahuja,Hindi Indie,2,Top10,False,1,3,3,2,4.0,0.0,0.0,0.0,False,2026-03-13,4.0,Top10,Top10,1,0
2026-03-12,5,Khat,Navjot Ahuja,Hindi Indie,2,Top10,False,1,3,3,2,7.0,-2.0,1.0,-1.0,False,2026-03-13,5.0,Top10,Top10,1,0
2026-03-12,6,Sahiba,Aditya Rikhari,Hindi Indie,2,Top10,False,1,3,3,2,5.0,1.0,1.0,0.0,False,2026-03-13,6.0,Top10,Top10,1,0
2026-03-12,7,Samjhawan,Jawad Ahmad,Hindi Film,2,Top10,False,1,3,3,2,6.0,1.0,0.0,1.0,False,2026-03-13,7.0,Top10,Top10,1,0
2026-03-12,8,Sitaare,Arijit Singh,Hindi Film,2,Top10,False,1,3,3,56,10.0,-2.0,0.5,-1.5,False,2026-03-13,9.0,Top10,Top10,1,0
2026-03-12,9,Arz Kiya Hai | Coke Studio Bharat,Anuv Jain,Hindi Indie,2,Top10,False,1,3,3,2,8.0,1.0,0.5,0.5,False,2026-03-13,10.0,Top10,Top10,1,0
2026-03-12,10,Finding Her,Kushagra,Hindi Indie,2,Top10,False,1,3,3,2,9.0,1.0,0.5,0.5,False,2026-03-13,8.0,Top10,Top10,1,0
2026-03-12,11,Shararat,Shashwat Sachdev,Hindi Film,2,11-25,False,1,3,3,449,11.0,0.0,0.5,-0.5,False,2026-03-13,11.0,11-25,11-25,0,0
2026-03-12,12,Apna Bana Le,Sachin-Jigar,Hindi Film,2,11-25,False,1,3,3,2,12.0,0.0,0.5,-0.5,False,2026-03-13,13.0,11-25,11-25,0,0
2026-03-12,13,Ishq,Faheem Abdullah,Hindi Indie,2,11-25,False,1,3,3,51,14.0,-1.0,2.5,1.5,False,2026-03-13,14.0,11-25,11-25,0,0
2026-03-12,14,For A Reason,Karan Aujla,Punjabi-Haryanvi Pop,2,11-25,False,1,3,3,52,13.0,1.0,1.0,0.0,False,2026-03-13,15.0,11-25,11-25,0,0
2026-03-12,15,Bairi,Virat,Punjabi-Haryanvi Pop,2,11-25,False,1,3,3,2,17.0,-2.0,1.5,-0.5,False,2026-03-13,12.0,11-25,11-25,0,0
2026-03-12,16,Boyfriend,Karan Aujla,Punjabi-Haryanvi Pop,2,11-25,False,1,3,3,2,16.0,0.0,0.5,0.5,False,2026-03-13,16.0,11-25,11-25,0,0
2026-03-12,17,Saiyaara,Tanishk Bagchi,Hindi Film,2,11-25,False,1,3,3,2,18.0,-1.0,1.0,-2.0,False,2026-03-13,18.0,11-25,11-25,0,0
2026-03-12,18,Mann Mera,Gajendra Verma,Hindi Indie,2,11-25,False,1,3,3,2,15.0,3.0,3.0,0.0,False,2026-03-13,21.0,11-25,11-25,0,0
2026-03-12,19,Raanjhan,Sachet-Parampara,Hindi Film,2,11-25,False,1,3,3,4,20.0,-1.0,2.0,1.0,False,2026-03-13,17.0,11-25,11-25,0,0
2026-03-12,20,Dhurandhar - Title Track,Shashwat Sachdev,Hindi Film,2,11-25,False,1,3,3,3,19.0,1.0,1.0,0.0,False,2026-03-13,20.0,11-25,11-25,0,0
2026-03-12,21,Ishqa Ve,Zeeshan Ali,Hindi Indie,2,11-25,False,1,3,3,2,21.0,0.0,1.0,1.0,False,2026-03-13,19.0,11-25,11-25,0,0
2026-03-12,22,Deewaana Deewaana,A.R. Rahman,Hindi Film,2,11-25,False,1,3,3,2,22.0,0.0,0.5,-0.5,False,2026-03-13,24.0,11-25,11-25,0,0
2026-03-12,23,Pavazha Malli,Sai Abhyankkar,South Indian Film,2,11-25,False,1,3,3,8,29.0,-6.0,2.0,-4.0,False,2026-03-13,23.0,11-25,11-25,0,0
2026-03-12,24,Tere Bina,A.R. Rahman,Hindi Film,2,11-25,False,1,3,3,52,24.0,0.0,0.0,0.0,False,2026-03-13,25.0,11-25,11-25,0,0
2026-03-12,25,Aaya Sher,Anirudh Ravichander,South Indian Film,2,11-25,False,1,3,3,2,25.0,0.0,0.0,0.0,False,2026-03-13,26.0,26-50,26-50,0,0
2026-03-12,26,Agar Tum Saath Ho,Alka Yagnik,Hindi Film,2,26-50,False,1,3,3,2,27.0,-1.0,0.5,-0.5,False,2026-03-13,28.0,26-50,26-50,0,0
